2019-06-16 18:01:32,686:INFO:Game Start: ftl:2019-06-16 18:01:32.686702
2019-06-16 18:01:32,687:INFO:Starting New Game.
2019-06-16 18:01:42,809:INFO:Playing Game.
2019-06-16 18:01:47,213:INFO:[1424, 402] Waypoint Clicked 
2019-06-16 18:01:47,897:INFO:[1424, 402] Failed Jump. 
2019-06-16 18:01:48,619:INFO:[2180, 428] Waypoint Clicked 
2019-06-16 18:01:49,306:INFO:[2180, 428] Failed Jump. 
2019-06-16 18:01:50,023:INFO:[1960, 432] Waypoint Clicked 
2019-06-16 18:01:50,721:INFO:[1960, 432] Failed Jump. 
2019-06-16 18:01:51,437:INFO:[1038, 480] Waypoint Clicked 
2019-06-16 18:01:52,135:INFO:[1038, 480] Failed Jump. 
2019-06-16 18:01:52,855:INFO:[1204, 494] Waypoint Clicked 
2019-06-16 18:01:53,539:INFO:[1204, 494] Failed Jump. 
2019-06-16 18:01:54,252:INFO:[1774, 502] Waypoint Clicked 
2019-06-16 18:01:54,958:INFO:[1774, 502] Failed Jump. 
2019-06-16 18:01:55,678:INFO:[1730, 630] Waypoint Clicked 
2019-06-16 18:01:56,364:INFO:[1730, 630] Failed Jump. 
2019-06-16 18:01:57,083:INFO:[972, 662] Waypoint Clicked 
2019-06-16 18:01:57,766:INFO:[972, 662] Failed Jump. 
2019-06-16 18:01:58,480:INFO:[1518, 672] Waypoint Clicked 
2019-06-16 18:01:59,187:INFO:[1518, 672] Failed Jump. 
2019-06-16 18:01:59,901:INFO:[1906, 704] Waypoint Clicked 
2019-06-16 18:02:00,585:INFO:[1906, 704] Failed Jump. 
2019-06-16 18:02:01,308:INFO:[2050, 714] Waypoint Clicked 
2019-06-16 18:02:02,004:INFO:[2050, 714] Failed Jump. 
2019-06-16 18:02:02,722:INFO:[1720, 862] Waypoint Clicked 
2019-06-16 18:02:03,404:INFO:[1720, 862] Failed Jump. 
2019-06-16 18:02:04,119:INFO:[1452, 870] Waypoint Clicked 
2019-06-16 18:02:04,816:INFO:[1452, 870] Failed Jump. 
2019-06-16 18:02:05,532:INFO:[1014, 872] Waypoint Clicked 
2019-06-16 18:02:06,245:INFO:[1014, 872] Successful Jump! 
2019-06-16 18:02:13,243:INFO:[1014, 872] Looking for Target.
2019-06-16 18:02:14,697:INFO:[1014, 872] No Ship Encountered. 
