2019-06-16 17:48:56,084:INFO:Game Start: ftl:2019-06-16 17:48:56.083796
2019-06-16 17:48:56,084:INFO:Starting New Game.
2019-06-16 17:49:06,781:INFO:Playing Game.
2019-06-16 17:49:11,253:INFO:[1056, 436] Waypoint Clicked 
2019-06-16 17:49:11,979:INFO:[1056, 436] Failed Jump. 
2019-06-16 17:49:12,698:INFO:[1422, 446] Waypoint Clicked 
2019-06-16 17:49:13,447:INFO:[1422, 446] Failed Jump. 
2019-06-16 17:49:14,167:INFO:[2208, 466] Waypoint Clicked 
2019-06-16 17:49:15,217:INFO:[2208, 466] Failed Jump. 
2019-06-16 17:49:15,935:INFO:[1196, 478] Waypoint Clicked 
2019-06-16 17:49:16,619:INFO:[1196, 478] Failed Jump. 
2019-06-16 17:49:17,333:INFO:[1704, 494] Waypoint Clicked 
2019-06-16 17:49:18,091:INFO:[1704, 494] Failed Jump. 
2019-06-16 17:49:18,811:INFO:[1856, 534] Waypoint Clicked 
2019-06-16 17:49:19,514:INFO:[1856, 534] Failed Jump. 
2019-06-16 17:49:20,230:INFO:[2178, 662] Waypoint Clicked 
2019-06-16 17:49:21,042:INFO:[2178, 662] Failed Jump. 
2019-06-16 17:49:21,762:INFO:[1638, 664] Waypoint Clicked 
2019-06-16 17:49:22,534:INFO:[1638, 664] Failed Jump. 
2019-06-16 17:49:23,267:INFO:[1468, 676] Waypoint Clicked 
2019-06-16 17:49:23,997:INFO:[1468, 676] Failed Jump. 
2019-06-16 17:49:24,717:INFO:[1034, 680] Waypoint Clicked 
2019-06-16 17:49:25,438:INFO:[1034, 680] Failed Jump. 
2019-06-16 17:49:26,159:INFO:[1888, 686] Waypoint Clicked 
2019-06-16 17:49:26,847:INFO:[1888, 686] Failed Jump. 
2019-06-16 17:49:27,568:INFO:[1172, 702] Waypoint Clicked 
2019-06-16 17:49:28,262:INFO:[1172, 702] Failed Jump. 
2019-06-16 17:49:28,977:INFO:[2104, 862] Waypoint Clicked 
2019-06-16 17:49:29,657:INFO:[2104, 862] Failed Jump. 
2019-06-16 17:49:30,374:INFO:[1888, 884] Waypoint Clicked 
2019-06-16 17:49:31,037:INFO:[1888, 884] Failed Jump. 
2019-06-16 17:49:31,758:INFO:[942, 888] Waypoint Clicked 
2019-06-16 17:49:32,474:INFO:[942, 888] Successful Jump! 
2019-06-16 17:49:37,475:INFO:[942, 888] Looking for Target.
2019-06-16 17:49:38,980:INFO:[942, 888] No Ship Encountered. 
