2019-06-10 18:04:14,809:INFO:Game Start: ftl:2019-06-10 18:04:14.808856
2019-06-10 18:04:14,809:INFO:Starting New Game.
2019-06-10 18:04:44,900:INFO:Playing Game.
2019-06-10 18:04:49,351:INFO:[1286, 408] Waypoint Clicked 
2019-06-10 18:04:50,055:INFO:[1286, 408] Failed Jump. 
2019-06-10 18:04:50,776:INFO:[1734, 414] Waypoint Clicked 
2019-06-10 18:04:51,479:INFO:[1734, 414] Failed Jump. 
2019-06-10 18:04:52,197:INFO:[1428, 446] Waypoint Clicked 
2019-06-10 18:04:52,897:INFO:[1428, 446] Failed Jump. 
2019-06-10 18:04:53,615:INFO:[2128, 446] Waypoint Clicked 
2019-06-10 18:04:54,305:INFO:[2128, 446] Failed Jump. 
2019-06-10 18:04:55,027:INFO:[1118, 486] Waypoint Clicked 
2019-06-10 18:04:55,738:INFO:[1118, 486] Failed Jump. 
2019-06-10 18:04:56,459:INFO:[1974, 500] Waypoint Clicked 
2019-06-10 18:04:57,152:INFO:[1974, 500] Failed Jump. 
2019-06-10 18:04:57,871:INFO:[1324, 602] Waypoint Clicked 
2019-06-10 18:04:58,669:INFO:[1324, 602] Failed Jump. 
2019-06-10 18:04:59,386:INFO:[1856, 624] Waypoint Clicked 
2019-06-10 18:05:00,087:INFO:[1856, 624] Failed Jump. 
2019-06-10 18:05:00,812:INFO:[1692, 642] Waypoint Clicked 
2019-06-10 18:05:01,569:INFO:[1692, 642] Failed Jump. 
2019-06-10 18:05:02,290:INFO:[2180, 702] Waypoint Clicked 
2019-06-10 18:05:02,999:INFO:[2180, 702] Failed Jump. 
2019-06-10 18:05:03,715:INFO:[1120, 720] Waypoint Clicked 
2019-06-10 18:05:04,412:INFO:[1120, 720] Failed Jump. 
2019-06-10 18:05:05,131:INFO:[1466, 746] Waypoint Clicked 
2019-06-10 18:05:05,815:INFO:[1466, 746] Failed Jump. 
2019-06-10 18:05:06,535:INFO:[1414, 866] Waypoint Clicked 
2019-06-10 18:05:07,230:INFO:[1414, 866] Failed Jump. 
2019-06-10 18:05:07,951:INFO:[1656, 900] Waypoint Clicked 
2019-06-10 18:05:08,657:INFO:[1656, 900] Failed Jump. 
2019-06-10 18:05:09,377:INFO:[1216, 902] Waypoint Clicked 
2019-06-10 18:05:10,068:INFO:[1216, 902] Failed Jump. 
2019-06-10 18:05:10,788:INFO:[998, 906] Waypoint Clicked 
2019-06-10 18:05:11,506:INFO:[998, 906] Successful Jump! 
2019-06-10 18:05:18,509:INFO:[998, 906] Looking for Target.
2019-06-10 18:05:19,274:INFO:[998, 906] Ship Encountered. 
