2019-06-16 17:51:12,285:INFO:Game Start: ftl:2019-06-16 17:51:12.285631
2019-06-16 17:51:12,286:INFO:Starting New Game.
2019-06-16 17:51:22,326:INFO:Playing Game.
2019-06-16 17:51:26,732:INFO:[1074, 438] Waypoint Clicked 
2019-06-16 17:51:27,400:INFO:[1074, 438] Failed Jump. 
2019-06-16 17:51:28,123:INFO:[1382, 476] Waypoint Clicked 
2019-06-16 17:51:28,814:INFO:[1382, 476] Failed Jump. 
2019-06-16 17:51:29,538:INFO:[1310, 498] Waypoint Clicked 
2019-06-16 17:51:30,230:INFO:[1310, 498] Failed Jump. 
2019-06-16 17:51:30,945:INFO:[1640, 522] Waypoint Clicked 
2019-06-16 17:51:31,627:INFO:[1640, 522] Failed Jump. 
2019-06-16 17:51:32,341:INFO:[1962, 526] Waypoint Clicked 
2019-06-16 17:51:33,042:INFO:[1962, 526] Failed Jump. 
2019-06-16 17:51:33,763:INFO:[1060, 634] Waypoint Clicked 
2019-06-16 17:51:34,452:INFO:[1060, 634] Failed Jump. 
2019-06-16 17:51:35,172:INFO:[1628, 648] Waypoint Clicked 
2019-06-16 17:51:35,867:INFO:[1628, 648] Failed Jump. 
2019-06-16 17:51:36,588:INFO:[1550, 658] Waypoint Clicked 
2019-06-16 17:51:37,274:INFO:[1550, 658] Failed Jump. 
2019-06-16 17:51:37,990:INFO:[1898, 664] Waypoint Clicked 
2019-06-16 17:51:38,677:INFO:[1898, 664] Failed Jump. 
2019-06-16 17:51:39,393:INFO:[1330, 716] Waypoint Clicked 
2019-06-16 17:51:40,077:INFO:[1330, 716] Failed Jump. 
2019-06-16 17:51:40,797:INFO:[2196, 738] Waypoint Clicked 
2019-06-16 17:51:41,467:INFO:[2196, 738] Failed Jump. 
2019-06-16 17:51:42,181:INFO:[2060, 848] Waypoint Clicked 
2019-06-16 17:51:42,876:INFO:[2060, 848] Failed Jump. 
2019-06-16 17:51:43,596:INFO:[1234, 852] Waypoint Clicked 
2019-06-16 17:51:44,282:INFO:[1234, 852] Failed Jump. 
2019-06-16 17:51:45,002:INFO:[978, 876] Waypoint Clicked 
2019-06-16 17:51:45,690:INFO:[978, 876] Successful Jump! 
2019-06-16 17:51:51,694:INFO:[978, 876] Looking for Target.
2019-06-16 17:51:53,106:INFO:[978, 876] No Ship Encountered. 
