2019-06-10 18:55:20,628:INFO:Game Start: ftl:2019-06-10 18:55:20.628730
2019-06-10 18:55:20,629:INFO:Starting New Game.
2019-06-10 18:55:30,811:INFO:Playing Game.
2019-06-10 18:55:35,403:INFO:[1680, 386] Waypoint Clicked 
2019-06-10 18:55:36,148:INFO:[1680, 386] Failed Jump. 
2019-06-10 18:55:36,869:INFO:[1866, 426] Waypoint Clicked 
2019-06-10 18:55:37,619:INFO:[1866, 426] Failed Jump. 
2019-06-10 18:55:38,345:INFO:[2120, 428] Waypoint Clicked 
2019-06-10 18:55:39,099:INFO:[2120, 428] Failed Jump. 
2019-06-10 18:55:39,817:INFO:[1038, 444] Waypoint Clicked 
2019-06-10 18:55:40,544:INFO:[1038, 444] Failed Jump. 
2019-06-10 18:55:41,265:INFO:[1384, 478] Waypoint Clicked 
2019-06-10 18:55:41,995:INFO:[1384, 478] Failed Jump. 
2019-06-10 18:55:42,716:INFO:[1328, 514] Waypoint Clicked 
2019-06-10 18:55:43,438:INFO:[1328, 514] Failed Jump. 
2019-06-10 18:55:44,152:INFO:[1846, 614] Waypoint Clicked 
2019-06-10 18:55:44,895:INFO:[1846, 614] Failed Jump. 
2019-06-10 18:55:45,613:INFO:[1696, 652] Waypoint Clicked 
2019-06-10 18:55:46,329:INFO:[1696, 652] Failed Jump. 
2019-06-10 18:55:47,046:INFO:[2086, 654] Waypoint Clicked 
2019-06-10 18:55:47,800:INFO:[2086, 654] Failed Jump. 
2019-06-10 18:55:48,520:INFO:[1078, 682] Waypoint Clicked 
2019-06-10 18:55:49,266:INFO:[1078, 682] Successful Jump! 
2019-06-10 18:55:54,266:INFO:[1078, 682] Looking for Target.
2019-06-10 18:55:55,780:INFO:[1078, 682] No Ship Encountered. 
2019-06-10 18:55:56,527:INFO:Clicking Exit.
2019-06-10 18:55:57,899:INFO:Exiting Game.
2019-06-10 18:56:05,809:INFO:Game Start: ftl:2019-06-10 18:56:05.809218
2019-06-10 18:56:05,809:INFO:Starting New Game.
2019-06-10 18:56:16,041:INFO:Playing Game.
2019-06-10 18:56:20,615:INFO:[1492, 402] Waypoint Clicked 
2019-06-10 18:56:21,325:INFO:[1492, 402] Failed Jump. 
2019-06-10 18:56:22,041:INFO:[1854, 422] Waypoint Clicked 
2019-06-10 18:56:22,796:INFO:[1854, 422] Failed Jump. 
2019-06-10 18:56:23,512:INFO:[2058, 422] Waypoint Clicked 
2019-06-10 18:56:24,236:INFO:[2058, 422] Failed Jump. 
2019-06-10 18:56:24,956:INFO:[1038, 470] Waypoint Clicked 
2019-06-10 18:56:25,711:INFO:[1038, 470] Failed Jump. 
2019-06-10 18:56:26,430:INFO:[1744, 482] Waypoint Clicked 
2019-06-10 18:56:27,163:INFO:[1744, 482] Failed Jump. 
2019-06-10 18:56:27,881:INFO:[1338, 514] Waypoint Clicked 
2019-06-10 18:56:28,595:INFO:[1338, 514] Failed Jump. 
2019-06-10 18:56:29,313:INFO:[1530, 636] Waypoint Clicked 
2019-06-10 18:56:30,054:INFO:[1530, 636] Failed Jump. 
2019-06-10 18:56:30,771:INFO:[2000, 658] Waypoint Clicked 
2019-06-10 18:56:31,485:INFO:[2000, 658] Failed Jump. 
2019-06-10 18:56:32,213:INFO:[1328, 730] Waypoint Clicked 
2019-06-10 18:56:32,928:INFO:[1328, 730] Failed Jump. 
2019-06-10 18:56:33,645:INFO:[948, 734] Waypoint Clicked 
2019-06-10 18:56:34,388:INFO:[948, 734] Failed Jump. 
2019-06-10 18:56:35,105:INFO:[2130, 738] Waypoint Clicked 
2019-06-10 18:56:35,798:INFO:[2130, 738] Failed Jump. 
2019-06-10 18:56:36,517:INFO:[1618, 758] Waypoint Clicked 
2019-06-10 18:56:37,256:INFO:[1618, 758] Failed Jump. 
2019-06-10 18:56:37,971:INFO:[1766, 850] Waypoint Clicked 
2019-06-10 18:56:38,708:INFO:[1766, 850] Failed Jump. 
2019-06-10 18:56:39,431:INFO:[1416, 896] Waypoint Clicked 
2019-06-10 18:56:40,174:INFO:[1416, 896] Failed Jump. 
2019-06-10 18:56:40,892:INFO:[1272, 936] Waypoint Clicked 
2019-06-10 18:56:41,619:INFO:[1272, 936] Failed Jump. 
2019-06-10 18:56:42,336:INFO:[1874, 940] Waypoint Clicked 
2019-06-10 18:56:43,091:INFO:[1874, 940] Failed Jump. 
2019-06-10 18:56:43,804:INFO:[1110, 964] Waypoint Clicked 
2019-06-10 18:56:44,504:INFO:[1110, 964] Successful Jump! 
2019-06-10 18:56:51,503:INFO:[1110, 964] Looking for Target.
2019-06-10 18:56:52,277:INFO:[1110, 964] Ship Encountered. 
